ts_ra,ts_dec,ts_mag_r,ts_idtruth,ts_redshift,ts_flux_r
68.0366691,-40.5550182,28.544200897216797,9812960928_1,0.5172299742698669,13.878000259399414
58.4515715,-32.9061141,25.807300567626953,5000026223_1,0.15769599378108978,172.60899353027344
55.4524445,-37.7425414,28.719499588012695,7813193635_1,0.5979800224304199,11.808799743652344
67.6106995,-38.5836032,27.466699600219727,9000586006_1,0.5704960227012634,37.4380989074707
56.2561462,-39.8464147,24.171100616455078,9563515687_1,0.704721987247467,779.0449829101562
66.077289,-36.718481,28.135499954223633,7063773530_1,0.74754399061203,20.22010040283203
61.4336439,-34.2616833,26.470500946044922,6000054537_1,0.23042500019073486,93.714599609375
64.24182682510964,-33.20444321358676,,,5.036335450174712,
68.2770224,-40.9935861,28.549999237060547,10633785949_1,1.9191099405288696,13.804100036621094
62.6629492369717,-36.95675644253669,,,5.895834202540034,
56.9187842,-38.2303261,28.60849952697754,8768639876_1,2.7523601055145264,13.079500198364258
56.37372416637788,-39.13509546139953,,,3.6908403884654373,
68.26777013291483,-31.05654137289744,,,5.151145713023395,
59.231201,-35.6928582,27.117300033569336,6937922844_1,0.47421500086784363,51.65039825439453
58.768403,-32.3630286,24.95949935913086,4204118941_1,2.5557899475097656,376.89300537109375
63.312375981898185,-34.89622838912415,,,5.244123431990732,
62.43392476633501,-35.59506974566014,,,3.730149607566129,
66.1269195,-36.2023375,27.205699920654297,7066970830_1,1.3750699758529663,47.61280059814453
59.1259081,-33.0980684,28.939300537109375,5956418230_1,2.823620080947876,9.644379615783691
62.96304558931914,-36.087683921725066,,,4.89460199079663,
58.52239003163252,-38.278200496388735,,,5.525606558857069,
55.31333690383715,-30.210691652271738,,,5.516826160013511,
65.08080540355728,-35.473031288638225,,,6.749551912368686,
58.7363537,-30.7059496,26.27199935913086,4190841024_1,1.1737099885940552,112.51100158691406
65.0515166894297,-30.9373725324527,,,7.655860909957388,
60.8017874,-36.9360332,28.859399795532227,7942589852_1,1.4138200283050537,10.381199836730957
65.47287907277146,-40.29236211909894,,,4.852805908916746,
55.5883428,-38.7583565,28.44339942932129,8689378134_1,0.8778740167617798,15.227800369262695
60.057378310325866,-31.532519881387724,,,5.879430185156509,
61.5321401,-37.7677807,27.395099639892578,7937733633_1,0.39079201221466064,39.9901008605957
62.4666059,-32.6563565,28.38249969482422,5145284669_1,2.979340076446533,16.107099533081055
58.0297694,-40.1780041,26.868099212646484,9631821220_1,1.641070008277893,64.97470092773438
64.4875826,-37.4627913,27.49410057067871,8001265306_1,0.7778139710426331,36.505699157714844
67.5126579,-40.9643656,28.546499252319336,9820347177_1,1.8524800539016724,13.847800254821777
